country,sex,measure,age,HH,HU,HD,UH,UU,UD,version
Italy,female,GALI,106,0.1082,0.2891,0.6027,0.01666,0.5578,0.4255,1
Italy,female,GALI,107,0.09373,0.269,0.6373,0.01515,0.5349,0.45,1
Italy,female,GALI,108,0.08079,0.2489,0.6703,0.01374,0.5116,0.4747,1
Italy,female,GALI,109,0.0693,0.2292,0.7015,0.01243,0.4881,0.4995,1
Italy,female,GALI,110,0.05916,0.2101,0.7307,0.01121,0.4645,0.5243,1
Italy,female,GALI,111,0.05029,0.1917,0.758,0.01009,0.4409,0.549,1
Italy,female,GALI,112,0.04259,0.1743,0.7831,0.009062,0.4175,0.5734,1
Italy,female,GALI,113,0.03593,0.1579,0.8062,0.008117,0.3944,0.5975,1
Italy,female,GALI,114,0.03022,0.1425,0.8272,0.007253,0.3717,0.621,1
Italy,female,GALI,115,0.02534,0.1283,0.8463,0.006465,0.3495,0.644,1
Italy,female,GALI,116,0.02119,0.1152,0.8636,0.005751,0.3279,0.6664,1
Italy,female,GALI,117,0.01768,0.1032,0.8791,0.005104,0.3069,0.688,1
Italy,female,GALI,118,0.01472,0.09223,0.8931,0.00452,0.2867,0.7088,1
Italy,female,GALI,119,0.01223,0.08228,0.9055,0.003995,0.2672,0.7288,1
Italy,female,GALI,120,0.01015,0.07328,0.9166,0.003524,0.2486,0.7479,1
