sex,race,age,HH,HU,HD,UH,UU,UD
m,not black,51,0.95720823,0.041160240000000015,0.00163153,0.17333940173339402,0.8039239580392396,0.022736640227366406
m,not black,52,0.95548799,0.042693009999999997,0.0018189999999999997,0.17229147999999994,0.8034158900000001,0.024292629999999996
m,not black,53,0.95369279,0.04427923,0.0020279799999999995,0.1712305,0.80281723,0.02595227
m,not black,54,0.9518186700000001,0.04592042000000002,0.0022609100000000005,0.17015554999999993,0.80212238,0.02772207
m,not black,55,0.9498613805013862,0.047618089523819115,0.0025205299747947003,0.16906568169065686,0.8013254280132542,0.029608890296088906
m,not black,56,0.9478163905218361,0.04937373950626263,0.002809869971901301,0.16795990000000005,0.80042014,0.03161996
m,not black,57,0.94567881,0.05118887000000002,0.003132320000000001,0.16683715999999998,0.7993999700000001,0.03376286999999999
m,not black,58,0.9434434,0.05306494999999999,0.0034916499999999985,0.16569637000000004,0.79825802,0.03604561
m,not black,59,0.9411045205889548,0.055003439449965615,0.0038920399610796004,0.16453641,0.79698706,0.038476530000000016
m,not black,60,0.9386561206134388,0.05700573942994263,0.004338139956618603,0.16335611,0.79557948,0.041064409999999996
m,not black,61,0.93609168,0.0590732,0.004835120000000003,0.16215424,0.79402734,0.04381841999999999
m,not black,62,0.93340416,0.06120711,0.005388730000000002,0.16092955000000003,0.7923223300000001,0.04674812000000001
m,not black,63,0.9305859793058598,0.06340868063408682,0.006005340060053404,0.15968074159680742,0.7904557779045579,0.0498634804986348
m,not black,64,0.92762895,0.06567900999999997,0.006692040000000001,0.15840647000000002,0.78841865,0.053174880000000015
m,not black,65,0.92452426,0.06801907000000001,0.007456670000000004,0.15710535,0.7862015800000001,0.05669306999999999
m,not black,66,0.9212623707873764,0.07042968929570309,0.008307939916920597,0.15577598999999998,0.78379484,0.06042917
m,not black,67,0.917833,0.07291151999999998,0.009255479999999998,0.15441694999999997,0.78118838,0.06439466999999999
m,not black,68,0.91422502,0.07546501999999998,0.010309960000000002,0.15302675000000002,0.77837185,0.0686014
m,not black,69,0.91042643,0.07809037,0.011483199999999994,0.15160392999999997,0.77533459,0.07306148
m,not black,70,0.9064242699999999,0.08078751000000005,0.012788220000000005,0.15014698000000004,0.7720657,0.07778732000000001
m,not black,71,0.9022045609779544,0.08355602916443972,0.014239409857605906,0.1486544114865441,0.7685540576855405,0.08279153082791531
m,not black,72,0.89775222,0.08639514000000004,0.015852640000000008,0.1471247385287526,0.7647883323521167,0.08808692911913071
m,not black,73,0.893051,0.08930363999999999,0.017645359999999995,0.14555646999999997,0.7607571100000001,0.09368642
m,not black,74,0.8880834200000001,0.09227981000000002,0.019636770000000005,0.14394816,0.75644885,0.09960299000000002
m,not black,75,0.88283067,0.09532140000000001,0.021847930000000005,0.1422983914229839,0.7518520475185205,0.10584956105849559
m,not black,76,0.8772726000000001,0.0984255,0.0243019,0.14060580000000003,0.74695523,0.11243897000000001
m,not black,77,0.87138762,0.10158849999999998,0.027023879999999997,0.13886908,0.7417471,0.11938382000000003
m,not black,78,0.86515268,0.10480596000000003,0.03004136000000001,0.13708703,0.73621659,0.12669638000000003
m,not black,79,0.85854323,0.10807256,0.033384210000000004,0.13525851999999997,0.73035298,0.1343885
m,not black,80,0.85153321,0.11138197999999999,0.03708480999999999,0.13338255,0.724146,0.14247145
m,not black,81,0.84409508,0.11472676999999999,0.04117815,0.13145826000000002,0.7175859699999999,0.15095577
m,not black,82,0.83619987,0.11809828000000001,0.045701850000000016,0.12948493129484928,0.7106639071066391,0.1598511615985116
